ID,MODEL,MAKE,DESCRIPTIO,FLASH,CATEGORY,LOCATION,CLASS,BARCODESKU,UM,LIST,RETAIL,SYSTEM,DEALER,JOBBER,COST,AVG_COST,TEMP_COST,TEMP_DATE,TAXABLE,SPIFF,VENDOR1_ID,VENDOR1_PA,VENDOR2_ID,VENDOR2_PA,ON_HAND,COMMITED,MAX_STOCK,RO_POINT,RO_QUAN,ON_ORDER,EXP_ACCT,SOLD_MONTH,SOLD_YEAR,MTD_AMOUNT,YTD_AMOUNT,SUGG_TYPE,MOUNT_SIZE,DISP_LOC,FEATURES1,FEATURES2,FEATURES3,FEATURES4,FEATURES5,FEATURES6,DEFECTIVE,DEF_MONTH,DEF_YEAR,MEMO,PICTURE,LAST_UPD,HQ_INVC,FORCE_SER,TAX_MISC,ACTIVE_ITM,CELL_ITEM,PAGE_ITEM,VNDR1_NAME,VNDR1_PHON,VNDR2_NAME,VNDR2_PHON,SHOW_ON_MTC,STORE_NUM,LAST_USER,LAST_DATE,LAST_TIME,MANU_SPIFF,MANU_SPIFF_AMOUNT,MANU_SPIFF_ID,MANU_SPIFF_NAME,MANU_SPIFF_TYPE,MANU_SPIFF_INFO1,MANU_SPIFF_INFO2,NONTAXABLE,CHARGE_ADDITIONAL_TAX,ADDITIONAL_TAX,MANU_SPIFF_SALES_AMOUNT,REC_DELETED,GL_SALES,GL_INVENTORY,GL_CostOfSales,MANU_SPIFF_ALT_PROMPT1,MANU_SPIFF_ALT_PROMPT2,DATE_LAST_SOLD,PROMPT_FOR_COST,ONLINE,ITEM_PICTURE
"0055157737780350","DG50-CLR","DAWN","SOFT CLEAR DOOR EDGE","50 FT. ROLL","MOLDING","","TRIM","DG50B-CP","EACH",1.05,1.05,1.05,0.95,0.52,0.35,0.2,,"",,,"1058","DG50-CLR","","",3,,,,23,0,"",0,0,0,0,"","","","","","","","","",,,,"SOLD BY FOOT/ORDERED BY 50 FT BOX.","","","Y",False,,True,,,"DAWN ENTERPRISES","","","",False,"HQ","","1/11/2013","3:07:26 PM",,,"","","",,,,,,,"","","","","","","","",,""
"0055157839620100","DG5042-HG","DAWN","SOFT SILVERDOOR EDGE","50 FT. ROLL","MOLDING","","TRIM","DG50B-CP","EACH",1.05,1.05,1.05,0.95,0.53,0.35,0.35,,"",,,"1058","DG5042-HG","","",-12,0,100,25,57,,"",27,27,28.35,28.35,"","","","","","","","","",,,,"SOLD BY FOOT/ORDERED BY 50 FT BOX.","","","Y",False,,True,,,"DAWN ENTERPRISES","","","",False,"HQ","","2/16/2022","3:50:13 PM",,,"","","",,,,,,,"","","","","","","","",,""
"057758473620231","FREIGHT","COST","FREIGHT & HANDLING","","","","","","",,,,,,,29.6285,,"",,,"","FREIGHT","","FREIGHT",1555,1,,,-3249,38,"",2,2,438,438,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"","","","",,"HQ","","7/25/2022","12:43:06 PM",,,"","","",,,,,,,"","","","","","","","",,""
"058835587160143","09899","A.R.E.","LED SURFACE MOUNTED CHMSL","SURFACE MOUNT","LIGHTS","","PARTS","11-01-21","EACH",56.87,56.87,56.87,56.87,44.87,29.93,27.68,,"",,,"1000","09899","","09899",1,0,1,1,-1,0,"",3,3,141.58,141.58,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"A.R.E.","(800) 824-9561","MEYER DISTRIBUTING","",False,"HQ","","10/29/2021","12:58:08 PM",,,"","","",,,,,,,"","","","","","","","",,""
"061549667800718","CH-5802701","CTW","2 BLADE ON/OFF SWITCH","POWER SWITCH","SUPPLIES","","MISC","CH-58027-1","EACH",10,10,10,10,10,3.5,,,"",,,"1047","CH-5802701","","",-4,0,3,,5,0,"",5,5,50,50,"","","","","","","","","",,0,0,"SERIAL #F263804","","","Y",False,,True,,,"CTW ELECTRICAL CO., INC.","(800) 428-3004","","",False,"HQ","","7/29/2021","12:57:47 PM",,,"","","",,,,,,,"","","","","","","","",,""
"061642876650128","VGF15W","HD","GFI OUTLET","","ELECTRONIC","","MISC.","","",28,25,25,25,25,14.86,14.86,,"",,,"0401","VG15W","","VGF15W",-16,1,3,,20,2,"",23,23,575,575,"","","","","","","","","",,0,0,"","","","Y",False,,True,,,"Keystone Automotive","(800) 521-9999","Home Depot","523-0600",False,"HQ","","12/28/2021","12:57:43 PM",,,"","","",,,,,,,"","","","","","","","",,""
"0634318848505","1501","LOAD ZONE","CARGO PARTITION F/S PICKUP","FITS MOST FULL SIZE TRUCKS","CARGO MGMT","","CARGO BAR","","",174.99,174.99,170,160,156.45,104.35,103.16,,"",,,"1095","1501","","1501",0,,2,,-1,,"",0,0,0,0,"","","","","","","","","",,0,0,"","","","Y",,,True,,,"Keystone Automotive","(800) 521-0401","","",False,"HQ","","10/21/2013","5:08:48 PM",,,"","","",,,,,,,"","","","","","","","",,""
"064356964160884","ES1382402-","DAWN","BLACK Body Side Molding 1/2round","ALL BLACK boddy side mldg 1/2 round","MOLDING","","BODY SIDE","","EACH",3.6,3.6,3,2.6,1.9,1.2,1.2,,"",,,"","ES1382402-","","",,,,,39,,"",0,0,0,0,"","","","","","","","","",,,,"SOLD BY FOOT / ORDERED BY 50FT. BOX","","","Y",False,,True,,,"DAWN ENTERPRISES","(800) 548-4867","","",False,"","","1/11/2013","3:08:56 PM",,,"","","",,,,,,,"","","","","","","","",,""
"071737732880844","0323-2821","HEHR","92-C FORD DRIV.REAR DOOR","$75 LABOR / ADD FOAM TAPE","WINDOWS","","REAR DOOR","5/24/07","",215,200,195,180,150,90.07,100,,"",,,"1001","0323-2821","","",1,,,,-1,,"",0,0,0,0,"","","","","","","","","",,0,0,"DARK TINT FIXED","","","Y",False,,True,,,"PARKIN ACCESSORIES","(800) 637-8938","","",False,"HQ","","7/29/2019","10:31:10 AM",,,"","","",,,,,,,"","","","","","","","",,""
"071737907370406","0324-2821","HEHR","92-C FORD PASS.REAR DOOR","$75 LABOR / ADD FOAM TAPE","WINDOWS","","REAR DOOR","5/24/07","",215,200,195,180,150,90.07,100,,"",,,"1001","0324-2821","","",1,,,,0,,"",0,0,0,0,"","","","","","","","","",,0,0,"DARK TINT FIXED","","","Y",False,,True,,,"PARKIN ACCESSORIES","(800) 637-8938","","",False,"HQ","","1/7/2013","12:24:14 PM",,,"","","",,,,,,,"","","","","","","","",,""
